Code,UiFile,Arabic,English
10001,Font,Tahoma,Arial
10002,Size,12,14
20001,Login.ui,ÏÎæá,LOGIN
20002,Login.ui,ÇáÍÓÇÈ,Account
20003,Login.ui,ßáãÉ ÇáÓÑ,Password
30001,ChoiceTrio.ui,ÎíÇÑÇÊ ÇááÚÈÉ,Game Option
30002,ChoiceTrio.ui,ÎÑæÌ,Quit
30003,ChoiceTrio.ui,ÇÎÑ ÔíÁ Êã ÍĞİå,The latest deleted
30004,ChoiceTrio.ui,ÇÎÑ ÇÊÕÇá Êã,The latest connected
30005,ChoiceTrio.ui,æÍÏÇÊ,Credits
30006,ChoiceTrio.ui,äŞÇØ,Points
30007,ChoiceTrio.ui,æÍÏÇÊ,Credits
30008,ChoiceTrio.ui,åá ÇäÊ ãÊÃßÏ ãä ÑÛÈÊß ÈÍĞİ ÇáÔÎÕíÉ ¿ íÑÌì ÇÏÎÇá ßáãÉ ÇáÓÑ áÊÃßíÏ ÇáÚãáíÉ,"Are you sure want to delete character? \ Please, Enter the password."
40001,Choice.ui,ÏÚæÉ,Invite
40002,Choice.ui,ÑÓÇáÉ,Message
40003,Choice.ui,ãÑßÒ,Position
40004,Choice.ui,Lv. ãÓÊæì,Lv.
40005,Choice.ui,ÇáÇÓã,Name
40006,Choice.ui,ÊÚáíŞ,Comment
50001,ChoiceClass.ui,Îáİ,Back
50002,ChoiceClass.ui,Ïáíá ÊÚáíãí,Tutorial
50003,ChoiceClass.ui,EXP,EXP
50004,ChoiceClass.ui,%s ßíİ ßÇäÊ ÇáãÈÇÑÇÉ ¿ ÃäÊ ÊÕäÚ ÌíÏÇ  ÍÓäÇ ÏÚäÇ äÎÊÇÑ ãÑßÒÇ áß \ İí åĞå ÇáäŞØÉ ÊÎÊÇÑ ãÑßÒÇ áÔÎÕíÊß æåĞÇ ÊÍáíá áãÈÇÑÇÊß ÇáÓÇÈŞÉ,"?%s?, How was the match?\You are doing well!! Let's select position. It's to decide the position and characteristic.\This is the analysis for your past match."
50005,ChoiceClass.ui,%s ÊÓÏíÏÉ ÌíÏÉ åá ÊÍÈ ãÑßÒ ÇáåÌæã¿ Çäå ÇáãÑßÒ áÕäÚ ÇáÃåÏÇİ ÑÇÆÚ ÃáíÓ ßĞáß ¿,"?%s?, What a nice shot!\Do you like FW position? It's the position to make the goal. Isn't nice?"
50006,ChoiceClass.ui,%s ÊãÑíÑÉ ÌíÏÉ åá ÊÍÈ ãÑßÒ ÇáæÓØ ¿ Çäå ÇáãÑßÒ ÇáãÊÎÕÕ İí ÇáåÌæã æÇáÏİÇÚ ãÚÇ ÑÇÆÚ ÃáíÓ ßĞáß ¿,"?%s?, What a nice pass!\Do you like MF position? This position involved in both Striker & Defender positions."
50007,ChoiceClass.ui,"%s ,ÏİÇÚ ÌíÏ åá ÊÍÈ ãÑßÒ ÇáÏİÇÚ¿ Çäå ÇáãÑßÒ ÇáãÊÎÕÕ İí ÚÏã ÎÓÇÑÉ åÏİ ÑÇÆÚ ÃáíÓ ßĞáß ¿","?%s?, What a nice defense!\Do you like DF position? It's the position not to lose the goal. Isn't great?"
50008,ChoiceClass.ui,ÇáÊÓÏíÏ,Shooting
50009,ChoiceClass.ui,ÇáßÑÉ ÎÇáíÉ,Ball Clear
50010,ChoiceClass.ui,ÌÏæá ÇáÇÎÊÕÇÕ ÇáËÇäí,2nd position growth
50011,ChoiceClass.ui,ÌÏæá ÇáÇÎÊÕÇÕ ÇáÃæá,1st position growth
60001,ChoiceReplay.ui,ÇÚÇÏÉ,Replay
60002,ChoiceReplay.ui,ÇáãÑßÒ,Position
60003,ChoiceReplay.ui,ÇáÇÓã,Name
60004,ChoiceReplay.ui,ÇáÃåÏÇİ,Goals
60005,ChoiceReplay.ui,ãÓÇÚÏÉ,Assist
60006,ChoiceReplay.ui,ÇáÊÕæíÊ,Vote
70001,ChoiceRoom.ui,ãÊÌÑ ÇáãåÇÑÉ,Skill Shop
70002,ChoiceRoom.ui,ÇáãÚáæãÇÊ,Information
70003,ChoiceRoom.ui,ãÊÌÑ ÇáÃÏæÇÊ,Item Shop
70004,ChoiceRoom.ui,ãÎÒä ÇáÃÏæÇÊ,Item Inventory
70005,ChoiceRoom.ui,ÇáãåãÉ,Quest
70006,ChoiceRoom.ui,ÇåãÓ,Whisper
70007,ChoiceRoom.ui,ÇáØáÈ,Order
70008,ChoiceRoom.ui,ÇäÊ áã ÊŞã ÈÊØæíÑ ãÑßÒ ÇáÔÎÕíÉ ÇäÊŞá ááÕİÍÉ ãä ÃÌá ÇáÚãá,You didn't perform upgrading your\character position. Move to the page for\the job.
70009,ChoiceRoom.ui,Çáßá,All
70010,ChoiceRoom.ui,ÚÇÏí,Normal
70011,ChoiceRoom.ui,ÇäÊÙÇÑ,Waiting
70012,ChoiceRoom.ui,ÇáãåãÉ,Quest
70013,ChoiceRoom.ui,ÇÖÇİÉ ÕÏíŞ,Add Friend
70014,ChoiceRoom.ui,ÇÖÇİÉ ÊÌÇåá,Add Ignore
70015,ChoiceRoom.ui,ÇáÊİÇÕíá,Detail
70016,ChoiceRoom.ui,ÑÏåÉ,Lobby
70017,ChoiceRoom.ui,ŞÏÑÉ ÚÔæÇÆíÉ ,Lucky Ball
70018,ChoiceRoom.ui,ÇáäÙÇã,System
70019,ChoiceRoom.ui,ãÎÒä ÇáãåÇÑÉ,Skill Inventory
70020,ChoiceRoom.ui,åĞå ãÈÇÑÇÉ ãäİÑÏÉ ÈÇãßÇäß ÇáÊÏÑÈ ãÚ áÇÚÈíä ÇáßãÈíæÊÑ áä íÊã ÍİÙ ÓÌá Ãí ÔíÁ ãä ÇáãÈÇÑÇÉ Öãä ÇáÊÕäíİ,This is single match with AI players. You can practise with AI players.  The record is not apply the data in practise mode.
